iso3_code,total_members,n_dois,member_ror_share,work_ror_share,work_orcid_share,work_abstract_share
GHA,38,7222,0.21052631578947367,0.06161728053170867,0.2564386596510662,0.6935751869288286
SRB,108,191817,0.2962962962962963,0.058248226173905335,0.2753666254815788,0.6576268005442688
FRA,161,3150093,0.11801242236024845,0.05597676005121119,0.06865606824941359,0.2933091181752412
ZMB,6,1409,0.3333333333333333,0.049680624556423,0.10432931156848829,0.8843151171043293
UGA,22,6199,0.22727272727272727,0.04420067752863365,0.08452976286497822,0.5047588320696886
ISR,25,18530,0.12,0.04052887209929844,0.01802482460874258,0.6995682676740421
CAN,309,1261363,0.0970873786407767,0.03396880993021042,0.09371291214345118,0.4501146775353328
BIH,88,33318,0.2727272727272727,0.032715048922504354,0.08043700102046941,0.7698541329011345
PHL,176,58314,0.20454545454545456,0.028912439551394175,0.09381966594642796,0.6029941351990945
CHL,102,192433,0.1568627450980392,0.02468911257424662,0.1025343885923932,0.32544314124916207
BOL,42,8362,0.21428571428571427,0.020569241808179862,0.46771107390576416,0.8541018895001196
LTU,50,109197,0.24,0.01964339679661529,0.09636711631271921,0.6784435469838915
ARM,61,22603,0.4098360655737705,0.01902402335973101,0.12489492545237357,0.7929035968676724
TJK,9,3316,0.2222222222222222,0.018697225572979495,0.32870928829915563,0.3486127864897467
HUN,332,217036,0.024096385542168676,0.018121417644998986,0.1630328609078678,0.46409812197054867
IRL,38,26593,0.2631578947368421,0.01695935020494115,0.07344037904711766,0.3173391494002181
UZB,87,48050,0.1724137931034483,0.016628511966701353,0.12992715920915712,0.8576066597294485
MDA,47,21710,0.10638297872340426,0.01649009672961769,0.7093505297098112,0.8967756794104099
ZAF,87,251047,0.20689655172413793,0.015367640322330081,0.12600429401665825,0.45774695574932184
ECU,225,120218,0.15555555555555556,0.015114209186644263,0.41822356053170073,0.879227736279093
LAO,5,2397,0.2,0.015018773466833541,0.06675010429703797,0.6795994993742178
COD,23,2663,0.17391304347826086,0.01426962072850169,0.03417198648141194,0.501314307172362
NZL,51,134859,0.13725490196078433,0.013970146597557449,0.18446673933515745,0.7393574029171208
BLR,35,25241,0.08571428571428572,0.013509765857137198,0.15300503149637495,0.6995364684441979
ESP,565,847335,0.13805309734513274,0.013029085308644162,0.1871479403069624,0.5158951300253146
SVK,47,100628,0.23404255319148937,0.012451802679174782,0.10973089001073259,0.2949676034503319
AZE,66,39899,0.21212121212121213,0.009524048221759944,0.13002832151181734,0.48775658537807964
TUN,15,1908,0.13333333333333333,0.008385744234800839,0.08385744234800839,0.4827044025157233
MAR,36,7858,0.08333333333333333,0.008017307202850599,0.108679053194197,0.3301094426062611
LBY,49,22718,0.22448979591836735,0.007835196760278194,0.05933620917334272,0.8151245708248965
VEN,38,25644,0.21052631578947367,0.007682108875370457,0.6015052253938543,0.912962096396818
USA,2419,60546701,0.13145928069450186,0.0073046424114833275,0.10322337793433205,0.25918490587951276
BEL,63,315414,0.1746031746031746,0.007190549563430919,0.022931765869618977,0.0984578997761672
MEX,319,292687,0.11285266457680251,0.007178316768424973,0.2267917604813333,0.6879328429346024
MYS,191,178877,0.1256544502617801,0.007172526372870743,0.06740385851730518,0.7416828323373044
UKR,616,993486,0.18831168831168832,0.007146552643922511,0.3758583412348035,0.5165548382161399
KEN,79,43155,0.16455696202531644,0.007113891785424632,0.09305990035917043,0.5597265670258371
NGA,190,96275,0.14210526315789473,0.007073487405868606,0.022009867566865748,0.47507660347961567
COL,271,297084,0.31365313653136534,0.006907137375287797,0.28425293856283074,0.7533054624281348
ALB,19,4427,0.21052631578947367,0.00677659814772984,0.13259543709058053,0.8924779760560199
TZA,30,6557,0.2,0.006405368308677749,0.1377154186365716,0.7518682324233643
AUS,251,831875,0.10756972111553785,0.00627137490608565,0.03562915101427498,0.20725589782118709
KAZ,170,96009,0.13529411764705881,0.006249414117426491,0.2660063119082586,0.681925652803383
RUS,1564,2123113,0.17199488491048592,0.0058946462105408425,0.17354893498367727,0.4916092549007048
PAN,24,7421,0.16666666666666666,0.005794367335938553,0.4698827651259938,0.93841800296456
MKD,45,46377,0.2222222222222222,0.005541539987493801,0.0840287211333204,0.4628803070487526
SAU,65,41745,0.15384615384615385,0.00548568690861181,0.037034375374296324,0.18076416337285903
LKA,32,35832,0.25,0.0053583389149363695,0.1869278856887698,0.5379828086626479
PER,235,136014,0.11914893617021277,0.004705397973737997,0.2882938521034599,0.7648992015527813
RWA,9,1523,0.1111111111111111,0.004596191726854892,0.05909389363099146,0.37820091923834537
GEO,43,15137,0.09302325581395349,0.004558366915505054,0.038647023848847196,0.4056946554799498
HKG,147,149568,0.12244897959183673,0.004459510055626872,0.01886767222935387,0.26195442875481384
PRT,162,193391,0.06172839506172839,0.004353873758344493,0.1777073390178447,0.23567797880976882
POL,378,765614,0.11904761904761904,0.004277612478350709,0.2841771440961111,0.4728949575112263
SVN,52,61503,0.21153846153846154,0.004276214168414549,0.11001089377753931,0.6061167747914736
SWE,126,104978,0.07936507936507936,0.004191354379012745,0.11503362609308616,0.3710205947912896
SDN,13,5745,0.15384615384615385,0.004177545691906005,0.007832898172323759,0.3906005221932115
LBN,21,7301,0.09523809523809523,0.004109026160799891,0.03766607314066566,0.38515271880564306
KGZ,34,12981,0.08823529411764706,0.0040828903782451275,0.19944534319389878,0.704953393421154
MNG,22,7647,0.13636363636363635,0.0036615666274355954,0.1938014907806983,0.8362756636589512
ARG,133,136659,0.11278195488721804,0.0035270271259119413,0.19673786578271463,0.7210941101573991
PAK,491,251958,0.08961303462321792,0.003480738853300947,0.04842870637169687,0.6369990236467983
MNE,13,7637,0.07692307692307693,0.0034044781982453844,0.23818253240801363,0.5602985465496922
DOM,19,5177,0.05263157894736842,0.003283755070504153,0.196059493915395,0.8690361213057756
QAT,14,13492,0.07142857142857142,0.003187073821523866,0.041876667654906614,0.6181440853839312
VNM,171,118043,0.08187134502923976,0.003075150580720585,0.0419338715552807,0.8464373152156418
BGR,90,309275,0.23333333333333334,0.0030522997332471102,0.09286880607873252,0.20280009700105084
TUR,1847,825331,0.02598808879263671,0.002894596228664621,0.406766497320469,0.48657084248622673
HRV,213,186035,0.1267605633802817,0.002891928938103045,0.09007444835649206,0.3692853495310022
AUT,74,141317,0.06756756756756757,0.002674837422249269,0.10191979733506938,0.20836134364584585
GBR,732,28116603,0.09972677595628415,0.002532489433378563,0.08789080956899381,0.1914950038594634
AFG,28,54486,0.07142857142857142,0.002239107293616709,0.08532467055757442,0.0666409719928055
BRA,1871,3106002,0.046499198289684664,0.0019919497798134064,0.19908197097104252,0.5315569661577809
URY,73,15292,0.0410958904109589,0.0019618100967826314,0.36489667800156944,0.5629087104368297
ROU,268,197327,0.0708955223880597,0.0019003988303678665,0.09866870727269964,0.5706416253224343
CZE,131,206472,0.16793893129770993,0.0016903018326940215,0.055407028555930105,0.26467995660428534
CHE,161,5275969,0.09316770186335403,0.0016867043760113072,0.3331192810268597,0.5873673632274943
IDN,4517,3186520,0.03675005534646889,0.0015854286180535507,0.058387833749670486,0.8527610057366657
OMN,13,8835,0.07692307692307693,0.0015846066779852859,0.018902093944538765,0.2565930956423316
EST,19,39873,0.21052631578947367,0.0013793795300077747,0.15882928297344068,0.735836280189602
SLV,9,8861,0.2222222222222222,0.001354248956099763,0.09333032389120867,0.9909716736260016
YEM,37,14704,0.13513513513513514,0.001292165397170838,0.02060663764961915,0.6664853101196954
LVA,15,45788,0.2,0.001244867650912903,0.17043766925832096,0.40639468856468947
PRY,43,37219,0.16279069767441862,0.0012359278862946344,0.6027835245439157,0.8602595448561219
JOR,58,49098,0.08620689655172414,0.0012016782761008595,0.05521609841541407,0.47460181677461405
THA,105,149472,0.06666666666666667,0.0011975487047741382,0.04147934061228859,0.74095482766003
DEU,289,9516488,0.12802768166089964,0.0011789012921573588,0.04576541261860468,0.1337786586816481
IRQ,265,226933,0.06792452830188679,0.0011545257851436326,0.044466869075894644,0.6249069108503391
NLD,153,44460038,0.13071895424836602,0.001031195699832735,0.12431678533428155,0.04337000341745097
BGD,168,149057,0.09523809523809523,0.0010264529676566683,0.03567762667972655,0.4951126079285106
JPN,684,2750691,0.11257309941520467,0.0008754163953711995,0.0042403890513329195,0.00553061030846431
DZA,143,98270,0.02097902097902098,0.0006919711000305281,0.011376818968148978,0.1477663579932838
CYP,11,34604,0.2727272727272727,0.0006646630447347128,0.10651947751705006,0.33484568258004854
IND,1568,2626788,0.054209183673469385,0.0006102509985579346,0.03167975489457086,0.41792447658509174
PSE,22,18080,0.09090909090909091,0.0006084070796460177,0.00459070796460177,0.7278761061946902
FIN,150,79964,0.03333333333333333,0.0005252363563603621,0.07201990895903157,0.4414236406382872
SGP,66,791946,0.09090909090909091,0.0004028052417715349,0.0777780303202491,0.3929586108143737
CRI,32,40023,0.09375,0.00039977013217399996,0.28493616170701846,0.8023886265397396
ISL,7,5712,0.14285714285714285,0.00035014005602240897,0.07370448179271709,0.5159313725490197
CHN,185,531957,0.07567567567567568,0.0003458926191402689,0.011343022086371642,0.11240570196463248
TWN,35,37185,0.05714285714285714,0.0002689256420599704,0.04700820223208283,0.5215274976469007
ARE,57,335379,0.12280701754385964,0.0002594080130240713,0.09940992131290272,0.4449324495570683
ITA,162,349552,0.05555555555555555,0.00022886437497139195,0.07968771456035154,0.3506431088936696
