yr,countries,country_mean_renewable_tfec_pct,country_mean_electricity_access_pct,country_mean_renewable_capacity_share_pct
1990,251,36.2172930902335,69.7004588275862,25.612884022371034
1991,251,36.75557446991327,,28.089797644855203
1992,251,37.22550942299998,,28.138649568371044
1993,251,36.075175600289334,,28.240324795493205
1994,251,36.73614324300508,,28.164090790076926
1995,251,37.097082202076145,,28.593536398972844
1996,251,36.32787690199492,,28.079549830475113
1997,251,35.672180027299476,,28.372364046479657
1998,251,34.29158344970709,,28.226935347122165
1999,251,34.525538258732304,,28.079720293434402
2000,251,34.192927029587935,72.76830574672412,29.77556970663769
2001,251,33.55313894838002,,30.407122186302423
2002,251,33.20111817575862,,30.284676138907322
2003,251,32.51830327215269,,30.247635881439017
2004,251,31.812026185478263,,29.963944605907763
2005,251,31.824664387139407,,30.08060614535437
2006,251,31.429561682535887,,30.40127065579611
2007,251,30.38563790839999,,29.762386652151644
2008,251,30.521966082066353,,29.85226269123694
2009,251,30.721882551715634,,29.985503365433964
2010,251,28.52762906043333,76.14938391784486,30.508040842363194
